TYPE,PRICE,BEDROOMS,BATHROOMS,SQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,SUBLOCALITY,PROPERTY_TYPE,PROPERTY_TYPE_GROUP
house,2580000,8,2.3738608579684373,6493,40.6050685,-74.0969483,10301,staten island,richmond county,building,residential
condo,200000,1,1.0,613,40.840459,-73.8542045,10462,bronx,bronx county,building,residential
co-op,69000,1,1.0,850,40.8366623,-73.9239586,10452,bronx,the bronx,building,residential
condo,1995000,3,2.0,1546,40.8018548,-73.9672877,10025,manhattan,upper west side,building,residential
co-op,198000,3,1.0,2184,40.756144,-73.8213672,11355,queens,queens,amenity,other
house,1150000,2,2.0,1444,40.5882505,-74.1087291,10304,staten island,richmond county,building,residential
co-op,229000,1,1.0,2184,40.7562792,-73.8758052,11372,queens,jackson heights,amenity,other
for sale,2700000,8,4.0,2184,40.6914843,-73.9676428,11205,brooklyn,kings county,building,residential
co-op,295000,2,1.0,700,40.6196386,-73.9707307,11230,brooklyn,midwood,building,residential
house,550000,3,2.0,2184,40.6498755,-73.9375091,11203,brooklyn,kings county,building,residential
condo,285000,2,1.0,1000,40.8362269,-73.8612346,10462,bronx,the bronx,building,residential
co-op,328000,1,1.0,800,40.743059,-73.880983,11373,queens,elmhurst,building,residential
multi-family home,1388000,4,3.0,2184,40.774158,-73.7957477,11358,queens,flushing,building,residential
multi-family home,3000000,10,10.0,2184,40.6949321,-73.9928542,11201,brooklyn,kings county,building,residential
multi-family home,2198888,7,6.0,2184,40.7032697,-73.9088462,11385,queens,queens county,building,residential
multi-family home,650000,6,2.0,2310,40.8244358,-73.8633737,10473,bronx,bronx county,building,residential
townhouse,2649000,5,4.0,4050,40.6820924,-73.9393924,11216,brooklyn,kings county,building,residential
co-op,849000,2,1.0,800,40.6662599,-73.9870141,11215,brooklyn,brooklyn,building,residential
co-op,418888,2,1.0,900,40.6339124,-74.0058434,11219,brooklyn,sunset park,building,residential
multi-family home,899000,8,2.0,2160,40.8728082,-73.8469489,10469,bronx,bronx county,building,residential
multi-family home,979000,8,3.0,2860,40.6597134,-73.9195979,11212,brooklyn,kings county,building,residential
co-op,199000,1,1.0,2184,40.7282899,-73.8472,11375,brooklyn,forest hills,building,residential
for sale,815000,3,1.0,2184,40.751918,-73.9698335,10017,manhattan,midtown east,building,residential
condo,1025000,1,1.0,800,40.7712538,-73.950858,10128,manhattan,upper east side,amenity,other
condo,1375000,1,2.0,920,40.7645034,-73.9648503,10035,manhattan,upper east side,amenity,other
condo,875000,3,2.0,1437,40.8539526,-73.9345678,10033,manhattan,washington heights,building,residential
multi-family home,1350000,6,3.0,3000,40.5902653,-73.9455056,11235,brooklyn,sheepshead bay,building,residential
for sale,989000,7,3.0,2184,40.6360957,-73.9018295,11236,brooklyn,canarsie,building,residential
multi-family home,815156,4,4.0,2945,40.6402659,-74.110402,10310,staten island,richmond county,building,residential
multi-family home,1949000,3,5.0,2560,40.5813374,-73.9589282,11235,brooklyn,brighton beach,building,residential
multi-family home,669000,5,2.0,1893,40.5967151,-73.7696424,11691,queens,queens county,building,residential
multi-family home,900500,4,2.0,2184,40.6468871,-73.8907758,11236,brooklyn,canarsie,building,residential
multi-family home,1199000,6,5.0,2184,40.6662035,-73.8525027,11414,queens,queens county,building,residential
multi-family home,1230000,4,3.0,2184,40.700194,-73.8907488,11385,queens,queens county,building,residential
multi-family home,1350000,10,5.0,3383,40.6828535,-73.8769965,11208,brooklyn,kings county,building,residential
house,799000,5,3.0,1800,40.6336127,-73.9276041,11234,brooklyn,flatlands,building,residential
house,1299900,4,4.0,2755,40.5065922,-74.2393503,10307,staten island,richmond county,building,residential
co-op,370000,1,1.0,2184,40.6939582,-73.9943695,11201,brooklyn,brooklyn,building,residential
multi-family home,860000,5,3.0,2324,40.5768936,-74.0048793,11224,brooklyn,kings county,building,residential
house,765000,3,4.0,2205,40.611142,-74.0905357,10301,staten island,richmond county,building,residential
co-op,259000,1,1.0,750,40.6491203,-73.9440658,11203,brooklyn,brooklyn,building,residential
multi-family home,1500000,8,3.0,3135,40.6471477,-73.9489423,11226,brooklyn,kings county,building,residential
condo,99000,1,1.0,2184,40.6372545,-73.9002674,11236,brooklyn,canarsie,building,residential
co-op,535000,1,1.0,750,40.6453011,-73.9723049,11218,brooklyn,brooklyn,building,residential
multi-family home,849998,4,2.0,2342,40.5487767,-74.1629254,10312,staten island,richmond county,building,residential
multi-family home,998000,5,3.0,1574,40.7190856,-73.9060914,11378,queens,queens county,building,residential
multi-family home,1500000,3,2.0,2184,40.634316,-73.9462919,11210,brooklyn,kings county,building,residential
multi-family home,875000,6,3.0,2860,40.8920958,-73.8487361,10466,bronx,bronx county,building,residential
condo,2350000,1,2.0,1144,40.7449256,-74.0057175,10011,manhattan,new york county,building,residential
multi-family home,850000,5,2.0,1908,40.8979269,-73.8463057,10466,bronx,bronx county,building,residential
co-op,1300000,2,2.0,2184,40.7895034,-73.9769713,10024,manhattan,upper west side,building,residential
co-op,339000,3,1.0,250,40.7488879,-73.9723947,10017,manhattan,murray hill,amenity,other
multi-family home,875000,7,5.0,2680,40.8270095,-73.8766285,10472,bronx,bronx county,building,residential
multi-family home,799000,7,2.0,2296,40.8333931,-73.8727914,10472,bronx,bronx county,building,residential
house,285000,2,1.0,1380,40.7128326,-73.7435779,11429,queens,queens county,building,residential
multi-family home,2499000,5,4.0,1340,40.6962962,-73.9720502,11205,brooklyn,kings county,building,residential
townhouse,795000,4,2.0,1440,40.8767388,-73.911189,10463,manhattan,new york county,building,residential
house,250000,3,2.3738608579684373,1224,40.6505528,-73.8316736,11414,queens,queens county,building,residential
for sale,5999000,3,3.0,3000,40.7798567,-73.9873973,10069,manhattan,upper west side,amenity,other
pending,668000,3,2.0,1606,40.7299787,-73.7310756,11427,queens,queens county,building,residential
house,699900,3,2.0,1470,40.6153952,-74.1610855,10314,staten island,richmond county,building,residential
townhouse,5295000,4,4.0,4600,40.6800067,-73.9982111,11231,brooklyn,kings county,building,residential
co-op,459000,2,1.0,950,40.7607942,-73.8258766,11354,queens,queens,building,residential
house,879000,4,2.0,2184,40.7294367,-73.7125595,11426,queens,queens county,building,residential
condo,559000,1,1.0,679,40.7945743,-73.9434214,10029,manhattan,manhattan,building,residential
multi-family home,869888,4,3.0,2184,40.7019014,-73.8256776,11418,queens,queens county,building,residential
house,799888,3,2.0,2184,40.7138975,-73.8970229,11379,queens,queens county,building,residential
house,749000,4,1.0,1040,40.6165347,-74.1507186,10314,staten island,richmond county,building,residential
house,499000,2,3.0,2184,40.6886004,-73.7568067,11412,queens,queens county,building,residential
pending,879900,3,2.0,2242,40.5409077,-74.1964937,10312,staten island,richmond county,building,residential
co-op,400000,2,2.0,1150,40.8131429,-73.808397,10465,bronx,bronx county,building,residential
multi-family home,699999,6,2.3738608579684373,2184,40.8524948,-73.9151397,10453,bronx,bronx county,building,residential
condo,289000,1,1.0,666,40.6541622,-73.8846778,11207,brooklyn,brooklyn,building,residential
condo,699000,1,1.0,616,40.6826476,-73.9434923,11216,brooklyn,bedford-stuyvesant,amenity,other
foreclosure,479000,6,2.0,3100,40.6268305,-74.1471405,10303,staten island,richmond county,building,residential
foreclosure,9999000,4,6.0,4531,40.7779497,-73.959448,10028,manhattan,upper east side,building,residential
co-op,105000,3,1.0,656,40.8560699,-73.8688751,10462,bronx,the bronx,building,residential
multi-family home,799000,5,3.0,2400,40.8181836,-73.812739,10465,bronx,throgs neck,building,residential
co-op,202000,2,1.0,1453,40.7802813,-73.7818912,11360,queens,queens,building,residential
contingent,720000,3,2.0,1430,40.6149561,-74.0745548,10305,staten island,richmond county,building,residential
house,600000,5,2.0,2184,40.6422956,-73.972787,11218,brooklyn,kings county,building,residential
co-op,599000,3,1.0,1200,40.6279352,-74.0260154,11209,brooklyn,bay ridge,building,residential
co-op,319000,3,1.0,960,40.7598591,-73.7290086,11362,queens,queens county,building,residential
multi-family home,950000,12,6.0,2184,40.7000145,-73.9010076,11385,queens,queens county,building,residential
multi-family home,1088888,4,2.0,2184,40.7860789,-73.7928524,11360,queens,queens county,building,residential
house,1250000,4,4.0,3300,40.5675492,-74.140764,10306,staten island,richmond county,building,residential
land,650000,3,2.3738608579684373,2184,40.6799197,-73.8839962,11208,brooklyn,kings county,building,residential
house,774888,3,2.0,960,40.5525576,-74.1709014,10312,staten island,richmond county,building,residential
co-op,105509,1,1.0,650,40.879078,-73.9175196,10463,bronx,the bronx,building,residential
multi-family home,995000,5,2.0,2184,40.6862289,-73.9364224,11221,brooklyn,kings county,building,residential
house,769000,4,2.0,1728,40.8152029,-73.8154969,10465,bronx,bronx county,building,residential
co-op,395995,2,1.0,1100,40.9048823,-73.9051113,10471,bronx,riverdale,building,residential
house,499999,2,1.0,1744,40.8549429,-73.7908303,10464,bronx,bronx county,building,residential
co-op,365000,2,1.0,2184,40.7083799,-73.8290102,11415,queens,queens,building,residential
pending,748999,3,2.0,1620,40.606691,-74.0724094,10305,staten island,richmond county,building,residential
house,635000,3,2.0,2184,40.6933533,-73.7503369,11412,queens,queens county,building,residential
house,1099000,5,2.0,1760,40.6481943,-73.8452374,11414,queens,queens county,building,residential
land,3950000,3,2.3738608579684373,2184,40.525422,-74.166603,10312,staten island,richmond county,building,residential
house,675000,3,1.0,1404,40.6333513,-74.1021333,10301,staten island,richmond county,building,residential
house,420000,3,1.0,2184,40.6784764,-73.8476859,11417,queens,queens county,building,residential
land,2999950,3,2.3738608579684373,2184,40.6444117,-73.9100389,11236,brooklyn,canarsie,building,residential
