LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.8260352,-73.9256625,828 Gerard Avenue #5F,10451,Concourse,condo,1,1.0,2184.21,199900,Brown Harris Stevens,828|5f|40.8260352|-73.9256625,Bronx
40.753455,-73.8209077,43-40 Union Street #3D,11355,Flushing,condo,2,1.0,2184.21,369000,Winzone Realty Inc,43|3d|40.753455|-73.8209077,Queens
40.6847504,-73.8027331,111-31 141st Street,11435,Jamaica,house,4,3.0,1591.0,699000,Prestige Homes Ny Inc,111||40.6847504|-73.8027331,Queens
40.725464,-73.9999212,123 Prince Street Apt 1F,10012,SoHo,condo,3,2.0,2400.0,4250000,Brown Harris Stevens,123||40.725464|-73.9999212,Manhattan
40.768457,-73.789417,32-39 Jordan Street,11358,Whitestone,house,2,2.0,2184.21,825000,Weichert Realtors Tmt Group,32||40.768457|-73.789417,Queens
40.6315346,-74.0856344,55 Austin Place Apt 4L,10304,Mariner's Harbor,condo,2,1.0,837.0,329000,American Homes Group,55||40.6315346|-74.0856344,Staten Island
40.6233188,-74.1259917,17 S Greenleaf Avenue,10314,Tottenville,house,2,2.0,1520.0,889000,Wonica Realtors & Appraisers,17||40.6233188|-74.1259917,Staten Island
40.6868333,-73.8309133,"101-55 112th Street, South Richmond Hill",11419,Jamaica,house,2,2.0,2184.21,769000,First Class Homes Inc,101||40.6868333|-73.8309133,Queens
40.6042861,-74.0012526,66 Bay 22nd Street,11214,Bath Beach,house,4,2.0,2536.0,1200000,Exp Realty Bkny,66||40.6042861|-74.0012526,Brooklyn
40.6481488,-74.0847983,350 Richmond Terrace Apt 3N,10301,Howland Hook,condo,2,1.0,900.0,220500,Vylla Home,350||40.6481488|-74.0847983,Staten Island
40.6281691,-74.0297598,259 80th Street,11209,Bay Ridge,house,3,3.0,2739.0,1999000,Re Max Edge,259||40.6281691|-74.0297598,
40.7199716,-73.9980266,"The Police Building, 240 Centre Street #2B",10013,Little Italy,condo,2,2.0,1300.0,3250000,Douglas Elliman,|2b|40.7199716|-73.9980266,Manhattan
40.6866098,-73.9997131,473 Hicks Street Apt 4,11231,Red Hook,condo,2,2.0,1267.0,1650000,Douglas Elliman,473||40.6866098|-73.9997131,Brooklyn
40.5016233,-74.2417531,342 Manhattan Street,10307,Tottenville,house,4,4.0,2554.0,1049000,"Homes R Us Realty Of Ny, Inc.",342||40.5016233|-74.2417531,Staten Island
40.6175,-74.103996,1191 Clove Road,10301,St. George,house,3,4.0,2400.0,998800,American Homes Group,1191||40.6175|-74.103996,Staten Island
40.618648,-74.1019085,Waldron Avenue,10301,St. George,house,3,4.0,2400.0,998800,American Homes Group,||40.618648|-74.1019085,Staten Island
40.6754035,-73.9742051,184 Lincoln Place #2,11217,Park Slope,condo,3,2.0,1952.0,3150000,Degi,184|2|40.6754035|-73.9742051,Brooklyn
40.7802357,-73.9846328,263 West End Avenue #14C,10023,Upper West Side,condo,1,1.0,2184.21,849000,Brown Harris Stevens,263|14c|40.7802357|-73.9846328,Manhattan
40.5751942,-73.9669983,50 Brighton 1st Road #5H,11235,Sheepshead Bay,condo,1,1.0,800.0,559500,Piastro Realty Llc,50|5h|40.5751942|-73.9669983,Brooklyn
40.7643711,-73.9593578,333 E 66th Street #8E,10065,Upper East Side,condo,1,1.0,835.0,750000,Douglas Elliman,333|8e|40.7643711|-73.9593578,Manhattan
40.7193408,-73.9856438,150 Rivington Street #3G,10002,Lower East Side,condo,2,2.0,1029.0,1900000,Douglas Elliman,150|3g|40.7193408|-73.9856438,Manhattan
