LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.5997081,-73.9344974,3105 Avenue V #1F,11229,Gerritsen Beach,condo,3,1.0,2184.21,250000,Homefinders Of Si Inc.,3105|1f|40.5997081|-73.9344974,
40.6968706,-73.7390395,"115- 115 220th Street, Cambria Heights",11411,Cambria Heights,house,4,2.0,2244.0,650000,Epiphany Realty Llc,115||40.6968706|-73.7390395,Queens
40.5397292,-74.2155251,67 Dexter Avenue,10309,Mid-Island,house,3,4.0,3500.0,1165000,Re/Max Edge,67||40.5397292|-74.2155251,Staten Island
40.5302132,-74.1981906,447 Vernon Avenue,10309,Mid-Island,house,3,2.0,1150.0,729900,"Homes R Us Realty Of Ny, Inc.",447||40.5302132|-74.1981906,Staten Island
40.5805262,-74.0061062,3758 Bayview Avenue,11224,Coney Island,house,3,4.0,3150.0,1880000,Winzone Realty Inc,3758||40.5805262|-74.0061062,Brooklyn
40.7577991,-73.7159564,26910 Grand Central Parkway #22L,11005,Glen Oaks,condo,2,2.0,1549.0,449000,Charles H. Greenthal Property,26910|22l|40.7577991|-73.7159564,
40.57372,-73.8577786,"251 B 140 Street, Rockaway Park",11694,Rockaway,house,3,2.0,2250.0,1175000,Keller Williams City Views,251||40.57372|-73.8577786,
40.7336687,-74.000518,16 Gay Street,10014,West Village,house,3,2.0,2184.21,2750000,"Garfield, Leslie J. & Co., Inc.",16||40.7336687|-74.000518,Manhattan
40.657686,-73.8489131,159-03 83rd Street,11414,Howard Beach,house,3,2.0,2184.21,995000,Hauseit Llc,159||40.657686|-73.8489131,Queens
40.7086444,-74.0161953,"Liberty Court, 200 Rector Place #27E",10280,Battery Park City,condo,3,2.0,2000.0,2000000,Compass,|27e|40.7086444|-74.0161953,
40.6948972,-73.9925741,126 Pierrepont Street,11201,Brooklyn Heights,house,8,6.0,2184.21,15000000,Leven Real Estate,126||40.6948972|-73.9925741,Brooklyn
40.5861193,-74.1075476,25 Copperleaf Terrace,10304,Mariner's Harbor,house,4,6.0,8333.0,2800000,Re Max Edge,25||40.5861193|-74.1075476,Staten Island
40.7780417,-73.7739629,214-42 27th Avenue,11360,Murray Hill,house,5,4.0,3024.0,2600000,Keller Williams Rlty Landmark,214||40.7780417|-73.7739629,Queens
40.8229141,-73.9460622,51 Hamilton Terrace,10031,Harlem,house,6,6.0,6000.0,3500000,Corcoran West Side,51||40.8229141|-73.9460622,Manhattan
